iso,mean_hmo,mean_tmo,mean_iff,mean_oda,ratio,quantile
AFG,0,0,0,6200.09252929688,0,1
ALB,0,311.1625,311.1625,340.922508239746,0.912707411448417,1
DZA,1305.63,0,1305.63,186.33500289917,7.00689607258871,2
AGO,99.6875,0,99.6875,239.315002441406,0.416553492188219,1
ATG,3.2725,0,3.2725,9.68999996781348,0.33771929936739,1
ARG,3494.675,17843.98125,21338.65625,109.962498664856,194.053941198954,4
ARM,123.345,3148.44375,3271.78875,311.807495117188,10.4929766000986,2
ABW,2.1375,15406.3875,15408.525,0,,3
AZE,1195.92,23876.7375,25072.6575,165.05249786377,151.907167867852,4
BHS,71.585,4856.9375,4928.5225,0,,2
BHR,30.85,0,30.85,0,,1
BGD,890.7675,15411.51875,16302.28625,1888.12252807617,8.63412517333319,3
BRB,16.165,65.44375,81.60875,3.89499998092652,20.9521823875818,1
BLR,233.825,27381.74375,27615.56875,116.517499923706,237.007906692834,4
BLZ,2.6575,316.04375,318.70125,30.6675000190735,10.3921496633826,1
BEN,0,838.75,838.75,632.490005493164,1.32610791113768,1
BTN,54.2925,0,54.2925,128.584999084473,0.422230434238547,1
BOL,889.05,673.73125,1562.78125,617.564987182617,2.53055351652874,2
BIH,0,0,0,556.547515869141,0,1
BWA,0,3419.2875,3419.2875,113.402500152588,30.1517823275431,2
BRA,1010.9425,74184.96875,75195.91125,937.435005187988,80.2145330970659,4
BRN,3784.4575,0,3784.4575,0,,2
BGR,119.13,3411.33125,3530.46125,0,,2
BFA,0,1835.38125,1835.38125,1055.99996948242,1.73805047636467,2
BDI,1.4475,322.1125,323.56,570.712493896484,0.566940453311133,1
CPV,41.275,0,41.275,267.287502288818,0.15442173557146,1
KHM,101.1025,6391.4875,6492.59,747.222503662109,8.68896475705705,3
CMR,39.725,1433.09375,1472.81875,625.360000610352,2.35515342932475,2
CAF,0,68.575,68.575,240.14750289917,0.285553666692892,1
TCD,0,3621.15,3621.15,470.57250213623,7.69520102335193,2
CHL,643.29,15097.86875,15741.15875,137.9375,114.118051653829,3
CHN,57851.7625,348221.98125,406073.74375,-192.199989318848,-2112.76673421843,4
COL,288.065,2458.06875,2746.13375,827.105010986328,3.32017544752294,2
COM,0,248.93125,248.93125,77.025001525879,3.23182401906689,1
COD,4.555,109.68125,114.23625,3610.07244873047,0.0316437555263393,1
COG,0,2626.36875,2626.36875,466.862491607666,5.62557240560483,2
CRI,299.0725,46304.71875,46603.79125,49.4899988174438,941.680993404539,4
CIV,36.4975,4250.45625,4286.95375,1616.20750427246,2.65247732031153,2
HRV,987.64,4869.26875,5856.90875,32.9575007632375,177.710949385249,3
DJI,40.61,1024.05625,1064.66625,142.784999847412,7.45642925473797,2
DMA,4.29,0,4.29,25.6625003814698,0.167169992644119,1
DOM,365.77,4084.75625,4450.52625,210.86499786377,21.106045550885,2
ECU,0,6676.29375,6676.29375,162.102500915527,41.1856307724645,3
EGY,2119.575,4712.0125,6831.5875,2087.2074508667,3.27307546605548,3
SLV,172.6425,3991.55,4164.1925,247.215007781982,16.8444162729489,2
GNQ,633.5225,7801.04375,8434.56625,32.1749997138977,262.146583527607,3
ERI,0,0,0,128.25,0,1
ETH,1284.8575,7544.15,8829.0075,3519.96997070313,2.50826216515602,3
FJI,59.5375,379.2625,438.8,86.954999923706,5.04628831447302,1
GAB,0,1258.94375,1258.94375,82.9449977874755,15.1780551399339,2
GMB,54.865,237.0125,291.8775,127.022500991821,2.29784091575077,1
GEO,28.4975,3252.20625,3280.70375,609.854995727539,5.37948163577182,2
GHA,565.105,0,565.105,1657.13751220703,0.341012737830896,1
GRD,0,180.9875,180.9875,16.5174994468689,10.9573183629988,1
GTM,397.525,4631.78125,5029.30625,389.280006408692,12.9195082388072,3
GIN,4.5775,785.775,790.3525,380.997497558594,2.07442963553442,1
GNB,8.7225,164.375,173.0975,108.897499084473,1.58954522790029,1
GUY,134.485,703.04375,837.52875,107.047500610352,7.82389822485039,1
HTI,136.6275,99.5125,236.14,1705.44500732422,0.138462394850535,1
HND,184.27,11961.7625,12146.0325,505.452499389648,24.0300176864626,3
HUN,1608.36,13138.25,14746.61,0,,3
IND,977.6675,204939.65,205917.3175,2559.93753051758,80.4384150180284,4
IDN,1313.43,38478.86875,39792.29875,455.087499618532,87.4387865703961,4
IRN,6408,0,6408,125.407499313354,51.0974226827408,3
IRQ,5758.925,26670.55,32429.475,1733.86001586914,18.7036293029365,4
JAM,0,898.96875,898.96875,70.4450001716615,12.7612853688605,1
JOR,203.97,4904.00625,5107.97625,1121.66998291016,4.55390295525911,3
KAZ,3550.8125,35550.525,39101.3375,158.910001754761,246.059637960004,4
KEN,0,159.625,159.625,2517.64501953125,0.0634025046270104,1
KIR,6.185,0,6.185,54.7424993515015,0.112983515061783,1
XKX,0,0,0,561.497497558594,0,1
KWT,2073.9925,1557.78125,3631.77375,0,,2
KGZ,109.515,0,109.515,454.959999084473,0.240713469800377,1
LAO,402.92,1423.43125,1826.35125,398.797500610352,4.579645677831,2
LBN,476.5425,181.9875,658.53,563.439994812012,1.16876687147442,1
LSO,1.2975,782.28125,783.57875,277.4375,2.8243433205677,1
LBR,192.3575,940.9125,1133.27,820.249999999999,1.38161536117038,2
LBY,1837.9,798.9875,2636.8875,216.164995074272,12.1984944837807,2
MKD,0.16,1225.31875,1225.47875,182.759998321533,6.7053992189472,2
MDG,161.215,326.775,487.99,448.089996337891,1.08904462047401,1
MWI,42.13,1861.30625,1903.43625,1029.64752197266,1.84862898164732,2
MYS,10962.5075,102857.14375,113819.65125,-15.0799990892411,-7547.72268727822,4
MDV,29.09,409.2125,438.3025,54.1350002288819,8.09647174927246,1
MLI,27.585,1610.35625,1637.94125,1188.05500793457,1.37867458919058,2
MRT,100.03,0,100.03,364.964996337891,0.274081079017755,1
MUS,92.5575,1868.89375,1961.45125,158.174999237061,12.4005137313788,2
MEX,17127.9075,133455.625,150583.5325,598.017509460449,251.804554411561,4
MDA,0,2618.78125,2618.78125,439.720001220703,5.95556545694993,2
MNG,99.05,0,99.05,375.290000915527,0.26392922741977,1
MNE,0,9.225,9.225,106.742498397827,0.086422934992758,1
MAR,158.0975,9606.35625,9764.45375,1476.38250732422,6.61376960344578,3
MOZ,17.2575,1168.16875,1185.42625,2098.24996948243,0.564959498268173,2
MMR,567.4175,0,567.4175,1293.88003540039,0.4385394970751,1
NAM,250.835,3265.36875,3516.20375,263.254997253418,13.356645787108,2
NPL,43.7825,1004.81875,1048.60125,789.919998168946,1.32747778563739,2
NIC,486.14,9163.50625,9649.64625,518.965003967285,18.5940211309669,3
NER,13.3825,693.03125,706.41375,768.622497558594,0.919064628271759,1
NGA,13035.5675,10804.54375,23840.11125,2073.52752685547,11.4973690685234,4
OMN,452.885,13173.825,13626.71,-5.4025001525879,-2522.2970134434,3
PAK,415.88,0,415.88,2714.86251831055,0.153186394226254,1
PAN,12.925,5823.95625,5836.88125,75.2775003910065,77.5381916200998,3
PNG,254.0175,1777.475,2031.4925,614.61750793457,3.30529552733839,2
PRY,77.78,9294.5375,9372.3175,106.905002593994,87.6695876954829,3
PER,223.5175,14706.54375,14930.06125,260.262489318848,57.3653978684158,3
PHL,3068.475,14882.7125,17951.1875,158.817503690719,113.030283708262,3
POL,9337,11108.8125,20445.8125,0,,4
QAT,0,15049.2375,15049.2375,0,,3
ROU,121.855,6306.11875,6427.97375,0,,3
RUS,9606.6775,332232.5625,341839.24,0,,4
RWA,3.405,1617.75,1621.155,1065.30749511719,1.52177188974125,2
WSM,10.405,304.7875,315.1925,110.88500213623,2.84251696737818,1
STP,5.585,53.21875,58.80375,57.0300006866455,1.03110203913727,1
SAU,0,11147.825,11147.825,0,,3
SEN,0.925,2108.75625,2109.68125,1015.31500244141,2.07785883684088,2
SRB,0,7312.025,7312.025,977.172515869141,7.48283939760254,3
SYC,25.4625,121.7,147.1625,34.704999923706,4.24038323940399,1
SLE,0,2574.3,2574.3,442.752502441406,5.81430931684159,2
SLB,25.4275,377.63125,403.05875,313.915000915528,1.28397416123628,1
SOM,0,0,0,912.424987792969,0,1
ZAF,803.0075,54992.0375,55795.045,1198.60247802735,46.550083136677,4
LKA,540.925,5245.1375,5786.0625,516.32251739502,11.2062951063846,3
KNA,6.4775,0,6.4775,19.7574996948242,0.327850188538628,1
LCA,5.6625,0,5.6625,32.1500005722046,0.176127524081463,1
VCT,1.3475,0,1.3475,12.860000371933,0.104782267576051,1
SDN,272.2725,4779.41875,5051.69125,1661.17749023438,3.0410304014457,3
SUR,248.955,1460.2,1709.155,62.0774993896485,27.532600649262,2
SWZ,7.4075,995.45,1002.8575,105.659999847412,9.49136382214904,2
SYR,0,17589.45,17589.45,1444.02747344971,12.1808278051523,3
TJK,0,0,0,363.715003967285,0,1
TZA,623.045,365.10625,988.15125,2914.40252685547,0.339057916981076,1
THA,2525.8125,66050.475,68576.2875,-64.2649974823001,-1067.08613065592,4
TLS,42.1375,0,42.1375,276.970008850098,0.15213741074329,1
TGO,0.87,5118.4125,5119.2825,354.290004730225,14.4494127174095,3
TON,10.7375,3.63125,14.36875,78.5374984741211,0.182954006419426,1
TTO,267.3225,13540.94375,13808.26625,1.08500003814697,12726.512225366,3
TUN,0,4590.23125,4590.23125,803.042495727538,5.71605023946006,2
TUR,0,46422.83125,46422.83125,2574.4674987793,18.0320129393794,4
TKM,0,0,0,39.5474996566772,0,1
UGA,0,1340.90625,1340.90625,1650.66250610352,0.81234428300264,2
UKR,160,41290.2125,41450.2125,749.345001220703,55.315258569119,4
ARE,0,0,0,0,,1
URY,351.0825,3035.30625,3386.38875,29.5050001144409,114.773385421631,2
UZB,0,0,0,223.247501373291,0,1
VUT,5.33,531.7625,537.0925,98.909999847412,5.43011324263037,1
VEN,3285.75,12578.9875,15864.7375,47.6800012588501,332.73357972186,3
VNM,5850,18569.74375,24419.74375,3575.19256591797,6.8303296395253,4
YEM,85.8975,222.66875,308.56625,724.02000427246,0.426184702327481,1
ZMB,29.9175,8887.76875,8917.68625,1013.79499816895,8.79634074552209,3
ZWE,0,0,0,816.060012817383,0,1
AND,,,,,,0
AUS,,,,,,0
AUT,,,,,,0
BEL,,,,,,0
BMU,,,,,,0
CAN,,,,,,0
CYP,,,,,,0
CZE,,,,,,0
DNK,,,,,,0
EST,,,,,,0
FRO,,,,,,0
FIN,,,,,,0
FRA,,,,,,0
DEU,,,,,,0
GRC,,,,,,0
HKG,,,,,,0
ISL,,,,,,0
IRL,,,,,,0
ISR,,,,,,0
ITA,,,,,,0
JPN,,,,,,0
KOR,,,,,,0
LVA,,,,,,0
LIE,,,,,,0
LTU,,,,,,0
LUX,,,,,,0
MAC,,,,,,0
MLT,,,,,,0
MCO,,,,,,0
NLD,,,,,,0
NZL,,,,,,0
NOR,,,,,,0
PRT,,,,,,0
PRI,,,,,,0
SMR,,,,,,0
SGP,,,,,,0
SVK,,,,,,0
SVN,,,,,,0
ESP,,,,,,0
SWE,,,,,,0
CHE,,,,,,0
GBR,,,,,,0
USA,,,,,,0
TWN,,,,,,0
