percentile,co2_emissions
1,0.12
2,0.24
3,0.35
4,0.44
5,0.51
6,0.53
7,0.57
8,0.62
9,0.69
10,0.74
11,0.79
12,0.84
13,0.89
14,0.95
15,0.99
16,1.03
17,1.07
18,1.11
19,1.15
20,1.18
21,1.22
22,1.26
23,1.3
24,1.34
25,1.39
26,1.43
27,1.48
28,1.53
29,1.56
30,1.6
31,1.64
32,1.68
33,1.71
34,1.75
35,1.8
36,1.85
37,1.9
38,1.96
39,2.03
40,2.09
41,2.17
42,2.24
43,2.31
44,2.37
45,2.45
46,2.51
47,2.59
48,2.67
49,2.76
50,2.84
51,2.93
52,3.02
53,3.11
54,3.2
55,3.3
56,3.39
57,3.52
58,3.63
59,3.75
60,3.89
61,4.02
62,4.12
63,4.26
64,4.41
65,4.54
66,4.69
67,4.86
68,5.03
69,5.21
70,5.4
71,5.62
72,5.82
73,5.93
74,6.16
75,6.38
76,6.61
77,6.86
78,7.12
79,7.36
80,7.63
81,7.96
82,8.3
83,8.59
84,8.96
85,9.35
86,9.78
87,10.27
88,10.72
89,11.27
90,11.87
91,12.74
92,13.66
93,14.77
94,16.18
95,18.04
96,20.39
97,23.63
98,28.38
99,36.69
100,105.9
