iso,gain,gain_pcap
AUS,1349383,54849
AUT,475872,54091
BEL,1054797,92728
BMU,59369,929477
CAN,1274682,34884
CHE,1531727,181230
CUW,523,3266
CYP,88477,75001
CZE,101719,9601
DEU,5751974,69588
DNK,503544,87345
ESP,1437489,30852
EST,28433,21583
FIN,618501,112287
FRA,3353935,50160
GBR,3596648,54446
GRC,326177,30329
HKG,2822457,381841
IRL,212423,44187
ISL,19355,56363
ISR,313071,35930
ITA,3496473,57758
JPN,11995015,94609
KOR,1680868,32660
LTU,25395,8978
LUX,51671,86647
LVA,41701,21471
MAC,34146,54846
MLT,35923,76759
NLD,4416243,257788
NOR,367956,69729
NZL,148725,31024
PRT,182514,17719
SGP,1586940,282763
SVK,53749,9882
SVN,57546,27849
SWE,726171,72200
USA,18291118,56255
