iso,mf_cmltv,overshoot,pct_overshoot,quantile
CHN,495032429685,167220334392,15.26,5
USA,395102221155,296626597056,27.07,5
IND,145856523507,0,0.0,0
JPN,141738697269,95998400067,8.76,4
DEU,84993324860,54893074254,5.01,4
BRA,83268038964,26412361435,2.41,3
FRA,60365441494,38082455467,3.48,4
RUS,59600982343,8661381969,0.79,2
GBR,59419326425,37387192426,3.41,4
ITA,52901102422,31469901594,2.87,4
CAN,46520343882,35747363159,3.26,4
IDN,38265177775,0,0.0,0
MEX,37985313627,5127644533,0.47,2
ESP,37898304414,22779608180,2.08,3
KOR,35961926108,20674976937,1.89,3
AUS,31883185698,25174881337,2.3,3
IRN,31855921562,10811339512,0.99,2
POL,27936948232,14029798213,1.28,2
TUR,27063641597,7221291613,0.66,2
THA,23003217239,5425860742,0.5,2
ARG,21150145593,8399943277,0.77,2
ZAF,20508775406,5558949967,0.51,2
SAU,19910398665,13243287762,1.21,2
VNM,16855069299,3517690751,0.32,1
NLD,16691874149,10980315377,1.0,2
MYS,16486893067,8985103788,0.82,2
PAK,16429503121,0,0.0,0
KAZ,15244478083,9490914131,0.87,2
UKR,15171706558,1319936547,0.12,1
PHL,13877187219,0,0.0,0
GRC,12822888945,8978737444,0.82,2
COL,12669028893,1369407600,0.12,1
EGY,12520611605,0,0.0,0
NGA,11973829535,0,0.0,0
ROU,11745045310,3775407185,0.34,1
BEL,10782045588,6946461974,0.63,2
SWE,10551347681,7268987729,0.66,2
AUT,10025937524,7057412074,0.64,2
CZE,9651642880,5794841582,0.53,2
BGD,9421116198,0,0.0,0
SGP,8781806860,7456459641,0.68,2
CHL,8723410646,3590770077,0.33,1
CHE,8280358464,5657721585,0.52,2
PER,7958622399,617762470,0.06,1
VEN,7696233748,321455596,0.03,1
PRT,7523358078,3803825386,0.35,1
ARE,7523248458,6301963852,0.58,2
FIN,7400835218,5507349091,0.5,2
HUN,6892015146,3019749966,0.28,1
NOR,6710117544,5059278201,0.46,2
SVK,6397711104,4450665819,0.41,1
KWT,6321858977,5569174620,0.51,2
UZB,6089021948,1256676,0.0,1
CUB,5950029843,1993950586,0.18,1
COD,5782682785,0,0.0,0
ISR,5594825888,3547525628,0.32,1
SUD,5582717381,0,0.0,0
DNK,5340200357,3364213068,0.31,1
ECU,4303059518,530181109,0.05,1
SCG,4120522523,1542336567,0.14,1
NZL,3845528646,2478634349,0.23,1
MAR,3832314936,0,0.0,0
KEN,3759942321,0,0.0,0
BGR,3615800531,766971008,0.07,1
GUY,3347937629,3064762122,0.28,1
ETF,3307790184,0,0.0,0
IRL,3234071510,1821979369,0.17,1
URY,2890394155,1710231709,0.16,1
DZA,2802244748,0,0.0,0
LTU,2797329251,1530121899,0.14,1
UGA,2767604843,0,0.0,0
TKM,2716513841,1295786426,0.12,1
PRK,2631386381,0,0.0,0
AZE,2602753347,487028944,0.04,1
IRQ,2488317022,0,0.0,0
HRV,2462473473,792708934,0.07,1
TUN,2361586585,0,0.0,0
GHA,2351591554,0,0.0,0
PRY,2307698901,608195899,0.06,1
LBN,2224260161,978536399,0.09,1
TZA,2210430830,0,0.0,0
AGO,2206055164,0,0.0,0
ZMB,2172791707,152583541,0.01,1
MMR,2094782671,0,0.0,0
SYR,2063798610,0,0.0,0
BWA,2048266062,1497701143,0.14,1
BOL,1994600321,40512865,0.0,1
NPL,1984014801,0,0.0,0
DOM,1915527551,0,0.0,0
GEO,1897952769,492911672,0.04,1
LUX,1738574878,1580780166,0.14,1
SVN,1678738731,945672230,0.09,1
MLI,1664483703,0,0.0,0
KGZ,1619696283,102967322,0.01,1
LKA,1581425366,0,0.0,0
GTM,1569637925,0,0.0,0
NER,1562203032,0,0.0,0
MOZ,1547286305,0,0.0,0
JOR,1501328753,14574737,0.0,1
BIH,1477529259,142867524,0.01,1
AFG,1431122778,0,0.0,0
BFA,1406548428,0,0.0,0
CMR,1318444552,0,0.0,0
SOM,1275899367,0,0.0,0
YEM,1206844215,0,0.0,0
KHM,1206110220,0,0.0,0
ZWE,1188778172,0,0.0,0
MNG,1183285698,469443970,0.04,1
EST,1182394742,647832982,0.06,1
OMN,1179056136,435411492,0.04,1
SLV,1123546127,0,0.0,0
CIV,1087195510,0,0.0,0
PAN,1083552891,105002430,0.01,1
ALB,1076224283,144667363,0.01,1
MKD,1057980581,317035431,0.03,1
CRI,1036372315,32262037,0.0,1
LVA,1032029362,316937687,0.03,1
BEN,997196200,0,0.0,0
SEN,993103124,0,0.0,0
LBY,960018365,24006399,0.0,1
JAM,922261534,88079296,0.01,1
GIN,912510779,0,0.0,0
MUS,908427895,499537394,0.05,1
HND,908255674,0,0.0,0
CYP,908015850,587699549,0.05,1
RWA,845002212,0,0.0,0
NAM,791937996,205870666,0.02,1
NIC,746687546,0,0.0,0
PNG,744691977,0,0.0,0
QAT,721628213,439490954,0.04,1
BHR,690740300,445597300,0.04,1
LAO,629939582,8000526,0.0,1
MWI,627183342,0,0.0,0
ARM,620156602,11411002,0.0,1
SLE,603419066,0,0.0,0
TJK,599012396,0,0.0,0
BDI,563015824,0,0.0,0
TGO,557995323,0,0.0,0
MDG,555938312,0,0.0,0
HTI,499413699,0,0.0,0
SWZ,486725435,152457324,0.01,1
BHS,476165225,373356084,0.03,1
ISL,414596950,314845828,0.03,1
CAF,393616007,0,0.0,0
MLT,371239878,233871800,0.02,1
MRT,356230883,0,0.0,0
COG,333016849,0,0.0,0
SUR,332299970,168042237,0.02,1
TTO,282900649,0,0.0,0
GAB,281395761,1892483,0.0,1
FJI,274543649,17027412,0.0,1
BRN,236917558,131368973,0.01,1
BRB,221542809,122772627,0.01,1
BTN,212265751,23280351,0.0,1
LBR,173720250,0,0.0,0
GMB,149736753,0,0.0,0
CPV,116636958,8709269,0.0,1
BLZ,100158249,18149581,0.0,1
VUT,64991909,8280942,0.0,1
WSM,62670049,4868336,0.0,1
