year,all_countries,all_countries_w/o_china
1960,2574.89329265892,3160.72001810816
1961,2632.9917038443,3189.93262814214
1962,2735.57047199898,3306.36441794578
1963,2816.43579725215,3410.0429216228
1964,2934.71357648276,3561.8636568481
1965,3030.04416154525,3691.07069169885
1966,3129.33005449021,3824.20093319598
1967,3197.04024472125,3904.97512381424
1968,3328.60947573928,4059.21457776254
1969,3432.15119931269,4192.07559517769
1970,3643.86978184719,4382.3713063547
1971,3718.51397040548,4480.87804799485
1972,3860.09326595688,4660.93050031469
1973,4033.70902226133,4880.28216736611
1974,4021.68991546655,4863.3453759261
1975,3965.62896371777,4796.89622829602
1976,4114.86207841708,4975.16500275534
1977,4217.22950681307,5100.31810856233
1978,4312.74170830841,5224.61610855981
1979,4423.34650199671,5361.70788448194
1980,4460.18415474778,5396.18579745816
1981,4435.45688149598,5365.23331326702
1982,4342.58204790333,5248.13889007165
1983,4381.07824682038,5306.76767743292
1984,4466.86395349262,5416.45652131912
1985,4546.25099644697,5519.39463523749
1986,4608.31961325782,5597.29209721995
1987,4637.38710258502,5620.06268118664
1988,4740.79696540533,5748.18685168545
1989,4821.58298467712,5790.68439741188
1990,4821.93888771961,5757.55880100714
1991,4800.49849850811,5732.72703523823
1992,4806.64565418217,5748.85953597801
1993,4790.43985652442,5734.91308151689
1994,4862.91191344144,5828.97613166621
1995,4926.28338056233,5897.33672139598
1996,5012.49798607084,5999.03248535552
1997,5208.07542271541,6217.99705412771
1998,5287.35897351553,6316.59329361683
1999,5395.42219726162,6441.72184941028
2000,5560.4023940426,6628.96131262376
2001,5572.65887797217,6635.22814771595
2002,5587.19823503908,6637.94964100392
2003,5656.89690766936,6708.31911883747
2004,5798.30959089081,6861.43827984966
2005,5914.51315559595,6982.69471202161
2006,6050.84876520398,7122.29677233152
2007,6171.42219036489,7235.36380171997
2008,6145.113182479,7176.31481457795
2009,5888.10929690251,6846.57023422874
2010,6023.83106199276,6972.63051738377
2011,6111.37441810313,7039.89703358633
2012,6161.94314734937,7070.50812055424
2013,6209.7889735968,7092.16530465844
2014,6289.81529967428,7153.66564163483
2015,6390.59687013677,7238.49053062681
2016,6453.56346586486,7280.75453151182
2017,6569.04136331205,7371.63505094823
2018,6685.26779339126,7460.46142878825
2019,6784.93238777299,7532.87555430445
2020,6496.01215573024,7136.08008545502
