year,ADV,EAS,ECS,LCN,MEA,SAS,SSF,USA
1960,8530,279,279,3533,1052,319,967,17551
1961,8979,248,278,3662,1068,336,958,17659
1962,9388,244,289,3731,1060,340,991,18450
1963,9860,252,311,3720,1158,350,1029,18987
1964,10442,270,323,3889,1226,369,1058,19811
1965,10838,289,350,4011,1407,357,1083,20817
1966,11342,303,384,4091,1568,353,1074,21916
1967,11927,292,398,4160,1678,367,1049,22220
1968,12692,292,419,4378,2547,375,1053,23055
1969,13507,315,432,4533,2758,388,1120,23539
1970,17367,345,445,4781,3236,401,1203,23207
1971,17896,359,465,4976,3540,395,1260,23670
1972,18711,368,493,5204,4019,380,1260,24650
1973,19753,389,504,5521,4399,386,1280,25794
1974,19899,403,528,5748,4716,385,1344,25421
1975,19776,421,560,5830,4840,404,1306,25120
1976,20522,428,610,6049,5472,404,1343,26223
1977,21069,454,626,6201,5496,420,1337,27161
1978,21708,487,632,6297,5041,435,1295,28363
1979,22493,515,625,6563,5107,411,1310,28940
1980,22801,544,693,6811,4929,428,1415,28590
1981,23041,567,720,6686,4824,445,1390,29029
1982,23245,591,736,6514,4559,451,1345,28235
1983,23669,624,763,6214,4270,470,1275,29261
1984,24374,688,804,6313,4073,478,1271,31108
1985,25133,725,844,6410,3901,492,1257,32119
1986,25773,762,893,6565,3802,504,1247,32925
1987,26576,814,1520,6650,3667,513,1245,33761
1988,27782,876,1560,6583,3716,545,1288,34853
1989,28719,912,4970,6543,3721,562,1284,35794
1990,29832,946,5963,6449,4133,580,1278,36059
1991,30278,1005,5825,6554,4183,578,1248,35542
1992,30557,1098,5275,6598,4464,598,1212,36287
1993,30518,1203,5026,6726,4477,611,1169,36798
1994,31214,1314,4607,6916,4488,635,1152,37814
1995,32012,1423,4747,6900,4479,666,1160,38369
1996,32649,1531,4782,7029,4594,698,1187,39356
1997,33398,1619,4942,7272,4654,710,1198,40614
1998,33871,1629,4915,7321,4778,736,1194,41943
1999,34626,1710,5034,7212,4915,778,1189,43435
2000,35812,1821,5412,7378,5208,795,1201,44727
2001,36294,1925,5553,7329,5179,814,1220,44729
2002,36606,2061,5834,7257,5173,834,1264,45087
2003,36979,2221,6189,7275,5379,879,1284,45981
2004,37814,2399,6663,7632,5718,930,1332,47288
2005,38507,2611,7097,7869,5895,985,1377,48500
2006,39470,2869,7634,8194,6126,1044,1423,49406
2007,40475,3193,8176,8554,6303,1103,1477,49856
2008,40371,3436,8502,8795,6454,1122,1530,49319
2009,38604,3673,8051,8530,6346,1184,1535,47649
2010,39603,4003,8387,8938,6528,1257,1577,48467
2011,40168,4310,8818,9232,6621,1304,1603,48862
2012,40232,4600,9054,9388,6751,1358,1626,49596
2013,40499,4895,9328,9546,6788,1422,1661,50161
2014,40978,5187,9502,9543,6845,1502,1692,51015
2015,41594,5484,9576,9411,6884,1594,1693,52099
2016,42130,5791,9713,9179,7100,1696,1661,52534
2017,43000,6120,10066,9157,7065,1791,1658,53356
2018,43612,6463,10328,9106,5792,1888,1653,54579
